TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | An African wild dog species, painted coat in black, tan, and white patches. | species:canid
contrast_collar | Contrast collar, the contrast collar as the noted anatomy or body feature. | clothing:general
covered_collarbone | Collarbone covered, the covered collarbone as the noted anatomy or body feature. | clothing:general
covered_pectorals | Covered pectorals on the character, the pec feature as the noted detail. | anatomy:torso
crescent_earrings | Crescent earrings, the crescent earrings as the noted anatomy or body feature. | clothing:general
crescent_facial_mark | Crescent facial marking, the crescent facial mark as the noted anatomy or body feature. | head:face
crescent_hair_ornament | A crescent-shaped hair ornament, the moon-shaped accessory worn in the hair. | hair:style
crescent_hat_ornament | Crescent hat ornament, the crescent hat ornament as the noted anatomy or body feature. | clothing:general
crescent_necklace | Crescent necklace, the crescent necklace as the noted anatomy or body feature. | clothing:general
crescent_pin | Crescent-shaped pin, the crescent pin as the noted anatomy or body feature. | clothing:general
crescent_print | Crescent-shaped prints or pattern across surface, the moon-shape motif as design. | coat:pattern
cuffs_(clothing) | Cuffs (clothing), the cuffs (clothing) as the noted anatomy or body feature. | clothing:general
cum_on_pectorals | Ejaculate visibly on the pectorals, the cum coating the surface as the noted feature. | anatomy:torso
detached_collar | Detached collar, the detached collar as the noted anatomy or body feature. | clothing:general
diaper_fetish | Diaper fetish, the diaper fetish as the noted anatomy or body feature. | clothing:general
dominant_anthro | An anthro character holding the dominant role in the scene, species form as the controller. | species:other
dominant_feral | A feral character holding the dominant role in the scene, quadruped form as the controller. | species:other
dominant_human | A human character holding the dominant role in the scene, human form as the controller. | species:other
dominant_humanoid | A humanoid character holding the dominant role in the scene, human-shaped form as controller. | species:other
domino_mask | Domino mask, the domino mask as the noted anatomy or body feature. | clothing:general
ear_markings | Distinct markings on the ears, contrasting colour pattern on the ears the feature. | coat:pattern
eye_markings | Distinct markings around the eyes, contrasting colour framing the eyes as feature. | coat:pattern
face_tentacles | Tentacles emerging from the face, eldritch or cephalopod facial anatomy. | anatomy:fantasy
facial_horn | A facial horn on the character, the species-style head horn as the feature. | head:general
facial_mark | Marking on face, the facial mark as the noted anatomy or body feature. | head:face
facial_markings | Distinct facial markings across the face, contrasting colour pattern the feature. | coat:pattern
facial_piercing | Facial piercing, the facial piercing as the noted anatomy or body feature. | clothing:general
facial_scar | Scar on face, the facial scar as the noted anatomy or body feature. | head:face
facial_spikes | Spikes on face, the facial spikes as the noted anatomy or body feature. | head:face
facial_tattoo | Tattoo on face, the facial tattoo as the noted anatomy or body feature. | head:face
facial_tuft | Tuft of fur on face, the facial tuft as the noted anatomy or body feature. | head:face
fake_facial_hair | Fake facial hair worn as accessory, false beard or moustache as the feature. | hair:colour
female_adolescent | Female teenage-range character between child and adult, development still in progress. | age
feral_on_feral | A scene with both partners feral, two fully quadrupedal animal characters together. | species:other
fingering_through_clothes | Fingering through clothes, the fingering through clothes as the noted anatomy or body feature. | clothing:general
fingering_through_panties | Fingering through panties, the fingering through panties as the noted anatomy or body feature. | clothing:general
fingerless_(marking) | Fingerless-glove-style markings on the hands, contrasting colour stopping at finger bases. | coat:pattern
floral_print_bikini | Floral print bikini, the floral print bikini as the noted anatomy or body feature. | clothing:general
floral_print_dress | Floral print dress, the floral print dress as the noted anatomy or body feature. | clothing:general
floral_print_kimono | Floral print kimono, the floral print kimono as the noted anatomy or body feature. | clothing:general
floral_print_skirt | Floral print skirt, the floral print skirt as the noted anatomy or body feature. | clothing:general
fluffy_clothes | Fluffy clothes, the fluffy clothes as the noted anatomy or body feature. | clothing:general
fluffy_ears | Fluffy ears on the character, the ear style or colour as the noted feature. | head:ears
fluffy_hair | Fluffy voluminous hair on the head, the puffed-out style as the noted feature. | hair:colour
fluffy_pony | A Fluffy Pony species character, the small derpy fan-created pony aesthetic. | species:equid
forehead_markings | Distinct markings on the forehead, contrasting colour at the brow the feature. | coat:pattern
frilled_collar | Frilled collar, the frilled collar as the noted anatomy or body feature. | clothing:general
frilled_sailor_collar | Frilled sailor collar, the frilled sailor collar as the noted anatomy or body feature. | clothing:general
frilled_shirt_collar | Frilled shirt collar, the frilled shirt collar as the noted anatomy or body feature. | clothing:general
frontless_outfit | Frontless outfit, the frontless outfit as the noted anatomy or body feature. | clothing:general
fur-trimmed_collar | Fur-trimmed collar, the fur-trimmed collar as the noted anatomy or body feature. | clothing:general
fur_collar | Fur collar, the fur collar as the noted anatomy or body feature. | clothing:general
fur_markings | Distinct markings within the fur coat, patterned colouration as the feature. | coat:pattern
gag_harness | Gag harness, the gag harness as the noted anatomy or body feature. | clothing:general
genital_markings | Distinct markings on or near the genitals, contrasting colour pattern the feature. | coat:pattern
gold_collar | Gold-coloured collar on the character, the colour the noted variant feature. | clothing:general
golden_markings | Golden-coloured markings across the body, metallic gold pattern the feature. | coat:pattern
grabbed_by_tentacles | A character's body gripped by tentacles, held in place by the flexible limbs. | anatomy:fantasy
green_collar | Green-coloured collar on the character, the colour the noted variant feature. | clothing:general
green_markings | Green-coloured markings across the body, the green patterned colouration the variant. | coat:pattern
green_sailor_collar | Green-coloured sailor collar on the character, the colour the noted variant feature. | clothing:general
green_tentacles | Tentacles coloured green, tentacle anatomy rendered in green tone. | anatomy:fantasy
grey_collar | Grey-coloured collar on the character, the colour the noted variant feature. | clothing:general
grey_inner_ear_fluff | Grey-coloured inner ear fluff on the character, the colour the noted variant feature. | head:ears
grey_markings | Grey-coloured markings across the body, the grey patterned colouration the variant. | coat:pattern
grey_sailor_collar | Grey-coloured sailor collar on the character, the colour the noted variant feature. | clothing:general
harem_outfit | Harem outfit, the harem outfit as the noted anatomy or body feature. | clothing:general
harness_ball_gag | Harness ball gag, the harness ball gag as the noted anatomy or body feature. | clothing:general
harness_gag | Harness gag, the harness gag as the noted anatomy or body feature. | clothing:general
hatsuboshi_gakuen_school_uniform | Hatsuboshi gakuen school uniform, the hatsuboshi gakuen school uniform as the noted anatomy or body feature. | clothing:general
