TAG DATABASE: META, SETTING & CHARACTER
========================================
Total tags: 1434
Categories: 12
Last updated: 2026-02-26

================================================================================
SEX, GENDER & PAIRING
================================================================================
_transformation | A tag indicating a transformation into a specified gender, the gender-shift the focus. | meta:pairing
potted_plant | A plant in a pot, domestic greenery as prop. | meta:prop
pride_color_accessory | An accessory featuring pride flag colours, LGBTQ+ identity marker in the outfit. | meta:theme
pride_color_flag | A pride flag visible in the scene, LGBTQ+ identity marker prominent in the framing. | meta:theme
pride_colors | Pride flag colours incorporated into the scene, LGBTQ+ identity markers framing the aesthetic. | meta:style
pseudo_incest_(lore) | Pseudo-incest as lore framing, the family-adjacent relationship without blood ties. | meta:lore
public_domain | Public domain work | meta:admin
public_transportation | Public transportation vehicles visible, bus, train, or subway in the scene. | meta:prop
puzzle_&_dragons | Puzzle & Dragons | meta:franchise
rainbow_pride_colors | Rainbow-flag pride colours in the scene, the six-stripe rainbow as LGBTQ+ marker. | meta:style
rescued_dragons_(spyro) | Rescued dragons (spyro) | meta:franchise
rib_cage | A visible rib cage, either on an emaciated character or as skeleton anatomy. | meta:prop
riding_pokemon | Franchise reference: riding pokemon | meta:franchise
robotics;notes | Robotics;notes | meta:franchise
rubik's_cube | A Rubik's cube in the scene, the classic colour-matching puzzle. | meta:prop
saliva_drip | Saliva drip | meta:fluid
saliva_on_face | Saliva on face | meta:fluid
saliva_string | Saliva string | meta:fluid
saliva_trail | Saliva trail | meta:fluid
sauropodomorph | Franchise reference: sauropodomorph | meta:franchise
sayonara_zetsubou_sensei | Sayonara zetsubou sensei | meta:franchise
seam_(sewing) | A visible seam in sewing, stitched line in fabric. | meta:prop
setsubun | Setsubun Japanese festival | meta:seasonal
sewing | A character sewing, needle and thread in hand mending or creating garment. | meta:prop
sewing_needle | A sewing needle visible, either in use or as prop. | meta:prop
sharpclaw_(star_fox) | Sharpclaw (star fox) | meta:franchise
sheath_cage | A cage-style chastity device enclosing the genital sheath on a species that has one. | meta:prop
shibeta | Shibeta (likely character) | meta:franchise
ship_turret | A ship turret visible, naval gun mount as prop. | meta:prop
short_sword | A short sword, blade shorter than standard sword length. | meta:prop
shortened_sound_effect | Shortened sound effect | meta:admin
shot_glass | A shot glass, small tumbler for spirits taken in one swallow. | meta:prop
simple_coloring | Simple colouring technique, basic flat fills without elaborate shading. | meta:style
six-stripe_rainbow_pride_colors | The six-stripe rainbow pride flag colours specifically, the standard LGBTQ+ colour set. | meta:style
sixteenth_note | A sixteenth-note musical symbol visible in the scene, sixteenth-rest or beam visible. | meta:prop
snowball | A snowball visible in the scene, either being held, thrown, or just sitting on the ground. | meta:atmosphere
snowing | Snow actively falling during the scene, flakes drifting down across the frame. | meta:atmosphere
soccer_ball | A soccer ball, the black-and-white pentagonal football sport ball. | meta:prop
soldier | A soldier character, the military role framing their occupation and uniform. | meta:role
sonic_unleashed | Franchise reference: sonic unleashed | meta:franchise
source_larger | Source larger | meta:admin
source_smaller | Source smaller | meta:admin
species_in_dialogue | Species in dialogue | meta:general
species_name | Species name | meta:admin
spell | A magical spell being cast or present in the scene, spellwork framing the action. | meta:supernatural
spell_card | A spell card visible in the scene, magical card-based casting framing the element. | meta:supernatural
spoken_sweatdrop | Anime-style sweat drop shown in conjunction with dialogue, commentary gesture. | meta:reaction
spot_color | Spot-colour technique, most of the image monochrome with selective colour accents. | meta:style
spotlight | Spotlight lighting framing the scene, a single focused beam highlighting the subject. | meta:atmosphere
stained_glass | Stained glass visible in the scene, coloured leaded window panel. | meta:prop
standard_pokeball | Standard pokeball | meta:franchise
star_balloon | A star-shaped balloon, decorative inflated prop typically gold or silver foil. | meta:prop
steel_ball_run | Reference to the JoJo's Bizarre Adventure Part 7 Steel Ball Run. | meta:prop
stella_(gvh_beta) | Stella (gvh_beta) | meta:franchise
stitch_(sewing) | A visible sewing stitch in fabric, individual or pattern. | meta:prop
strawberry_shortcake | Strawberry Shortcake franchise | meta:franchise
streaming_tears | Tears flowing copiously down the face, intense emotion visible in the wet streaks. | meta:reaction
string_of_fate | String of Fate | meta:franchise
striped_bow | A ribbon bow with stripe pattern, decorative accessory with parallel coloured lines. | meta:prop
submachine_gun | A submachine gun firearm, short-barrelled automatic weapon between pistol and rifle. | meta:prop
submerged | A character submerged in liquid, body below the surface. | meta:setting
subscribestar | Franchise reference: subscribestar | meta:franchise
subscribestar_logo | Franchise reference: subscribestar logo | meta:franchise
subscribestar_username | Franchise reference: subscribestar username | meta:franchise
subterranean_animism | Subterranean animism | meta:franchise
subtitled | Subtitled | meta:general
subway | A subway or metro station setting, underground train system. | meta:setting
sugar_cube | A sugar cube visible in the scene, small cube of crystallised sugar. | meta:prop
suggestive_fluid | Suggestive fluid (unclear type) | meta:fluid
sunbathing | A character sunbathing in direct sunlight, lying exposed to tan as the scene's primary activity. | meta:setting
surrounded_by_penises | Surrounded by penises | meta:composition
swallowing_sound_effect | An onomatopoeic sound effect for swallowing rendered in the scene. | meta:reaction
sweatdrop | Anime-style single sweat drop indicating awkwardness or embarrassment, visual shorthand. | meta:reaction
sweating_profusely | A character sweating heavily, perspiration pouring visibly from skin or fur. | meta:reaction
swing | A playground swing, seat suspended by chains or ropes. | meta:prop
synthesizer_v | Franchise reference: synthesizer v | meta:franchise
tail_bow | A ribbon bow tied around a character's tail, decorative accent. | meta:prop
tale_of_tails | Tale of tails | meta:franchise
tall_grass | Tall grass | meta:composition
tall_image | Tall image | meta:composition
tally | Tally marks visible in the scene, counting strokes as scene element on wall or paper. | meta:prop
tally_marks | Visible tally marks, counting strokes grouped in fives across a surface. | meta:prop
tears_of_joy | Tears shed from happiness rather than sadness, overwhelming positive emotion overflowing. | meta:reaction
tears_of_pain | Tears shed from physical or emotional pain, distress overflowing from the eyes. | meta:reaction
tears_of_pleasure | Tears shed from overwhelming sexual pleasure, the body weeping from intensity. | meta:reaction
tears_of_the_kingdom | Reference to The Legend of Zelda: Tears of the Kingdom. | meta:reaction
tears_of_themis | Reference to the Tears of Themis visual novel game. | meta:reaction
teen_titans | Teen titans | meta:franchise
teenage_mutant_ninja_turtles | Teenage mutant ninja turtles | meta:franchise
tennis_ball | A tennis ball, fuzzy yellow-green ball as prop or toy. | meta:prop
the_amazing_world_of_gumball | The amazing world of gumball | meta:franchise
the_legend_of_zelda:_tears_of_the_kingdom | The legend of zelda: tears of the kingdom | meta:franchise
thekinkybear | TheKinkyBear (artist) | meta:franchise
thinking | A thoughtful thinking expression, focus turned inward as the character considers something. | meta:expression
thinking_with_portals | Thinking with portals | meta:franchise
thoughtful_expression | A visibly thoughtful expression, the character's focus turned inward on some consideration. | meta:expression
throwing_knife | A throwing knife, balanced blade designed for ranged use rather than hand-to-hand. | meta:prop
tiny_toon_adventures | Tiny toon adventures | meta:franchise
tinygaypirate | Tinygaypirate | meta:franchise
toaru_majutsu_no_index:_old_testament | Toaru majutsu no index: old testament | meta:franchise
toilet_stall | A toilet stall setting, private cubicle within a restroom. | meta:setting
told_you_not_to_do_that | Dialogue: told you not to do that | meta:dialogue
touhou_cannonball | Touhou cannonball | meta:franchise
traditional_watercolor_(artwork) | A traditional watercolour artwork, wet-on-wet pigment technique visible in the piece. | meta:style
trans_(lore) | Transgender status specifically marked at lore level for the character's background. | meta:lore
trans_man_(lore) | Trans-man status specifically marked at lore level for the character's background. | meta:lore
trans_woman_(lore) | Trans-woman status specifically marked at lore level for the character's background. | meta:lore
transformers | Transformers | meta:franchise
transformers:_generation_1 | Transformers: generation 1 | meta:franchise
transgender_pride_colors | Transgender pride flag colours, pink-blue-white framing the trans identity marker. | meta:style
translated_description | Translated description | meta:admin
translation_check | Translation check | meta:general
translucent | Translucent elements in the piece, light passing through surfaces partially. | meta:style
translucent_legwear | Translucent legwear on a character, sheer fabric allowing skin colour through. | meta:style
translucent_swimwear | Translucent swimwear on a character, sheer fabric allowing skin colour through. | meta:style
