TAG DATABASE: ACTS & POSITIONS
========================================
Total tags: 1632
Categories: 10
Last updated: 2026-02-26

================================================================================
SEXUAL ACTS
================================================================================
*_sex | Wildcard placeholder for various sex acts when the specific type cannot be determined. | act:sexual
holding_handgun | A character gripping a handgun, finger on or off the trigger, weapon visible. | act:physical
holding_handheld_game_console | A character gripping a portable game console, mid-play or showing the screen. | act:physical
holding_head | A character gripping their own head with hands, frustration, headache, or thinking framing. | act:physical
holding_headgear | A character gripping a piece of headgear, whether helmet, cap, or fantasy headpiece. | act:physical
holding_headwear | A character gripping a piece of headwear, hat, hood, or similar, in hand rather than worn. | act:physical
holding_heart | A character gripping a heart shape, organ, or symbol, emotional or gory framing. | act:physical
holding_hips | A partner gripping another's hips, fingers dug in for leverage or control during sex. | act:physical
holding_hose | A character gripping a hose, water streaming or poised to spray. | act:physical
holding_ice_cream | A character holding ice cream, cone, cup, or bar gripped in hand. | act:physical
holding_ice_cream_cone | A character gripping an ice cream cone, scoops piled on top, licking or about to. | act:physical
holding_instrument | A character gripping a musical instrument, unspecified beyond the act of holding. | act:physical
holding_jar | A character gripping a jar, sealed or open, glass vessel visible. | act:physical
holding_jewelry | A character gripping a piece of jewelry, whether to display, offer, or put on. | act:physical
holding_key | A character gripping a key, lock-opening or symbolic framing. | act:physical
holding_ladle | A character gripping a ladle, kitchen or serving context. | act:physical
holding_leaf | A character gripping a leaf, whether fallen, torn from a plant, or used as cover. | act:physical
holding_legs_up | A partner pushing another's legs up or holding them up during sex, opening the hips fully. | act:physical
holding_letter | A character gripping a letter, either reading it or about to deliver. | act:physical
holding_lighter | A character gripping a cigarette lighter, flame lit or thumb poised on the striker. | act:physical
holding_lipstick_tube | A character gripping a tube of lipstick, mid-application or about to apply. | act:physical
holding_lollipop | A character gripping a lollipop, sucker in hand or lifted toward mouth, often suggestive framing. | act:physical
holding_mace | A character gripping a mace, whether medieval bludgeon weapon or ceremonial rod. | act:physical
holding_megaphone | A character gripping a megaphone raised to mouth or ready to lift, announcement framing. | act:physical
holding_melee_weapon | A character gripping a close-quarters weapon, sword, axe, or club, unspecified type. | act:physical
holding_menu | A character gripping a restaurant menu, reading or selecting from it. | act:physical
holding_milk_carton | A character gripping a milk carton, cardboard container with spout or sealed. | act:physical
holding_mini_person | A character holding a tiny person in their hand, size-difference or shrinking framing. | act:physical
holding_money | A character gripping cash, coin, or card, money visible as the central prop. | act:physical
holding_musical_instrument | A character gripping a musical instrument ready to play or mid-performance. | act:physical
holding_needle | A character gripping a needle, whether sewing, medical syringe, or threaded for tattooing. | act:physical
holding_newspaper | A character gripping a newspaper, reading it or using it as a prop. | act:physical
holding_notebook | A character gripping a notebook, writing in it or holding it ready to record. | act:physical
holding_notepad | A character gripping a notepad, smaller than a notebook, poised to write. | act:physical
holding_object | Character holding an unspecified object, general tag when no more specific holding tag fits. | act:physical
holding_ofuda | A character gripping an ofuda, Shinto paper talisman or protective ward. | act:physical
holding_own_foot | A character gripping their own foot, whether from flexibility pose, injury, or curled position. | act:physical
holding_paddle | A character gripping a paddle, whether canoe-style, spanking implement, or table-tennis bat. | act:physical
holding_paint_palette | A character gripping an artist's paint palette, brush hand free for working. | act:physical
holding_paintbrush | A character gripping a paintbrush, mid-stroke or loaded with paint. | act:physical
holding_paper | A character gripping a sheet of paper, whether reading, holding out, or about to use. | act:physical
holding_partner | A character gripping their partner, arms or hands supporting, holding close, or controlling them. | act:physical
holding_photo | A character gripping a photograph, whether looking at it, showing it, or clutching in emotion. | act:physical
holding_pizza | A character gripping a slice or whole pizza, about to eat or delivering. | act:physical
holding_plectrum | A character gripping a guitar pick between fingers, poised to strum. | act:physical
